OBJECTID,Join_Count,TARGET_FID,name,area_km2,Assessed_Value_Sum,Avg_Assessed_Value,Ward,c2016_Less_than_30K,c2016_30K_to_60K,c2016_60K_to_100K,c2016_100K_to_125K,c2016_125K_to_150K,c2016_150K_to_200K,c2016_200K_to_250K,c2016_250K_or_more,c2016_No_Response,Pct_less_than_30k,Pct_less_than_60k,Pct_less_than_100k,Pct_less_than_150k,Pct_less_than_200k,Pct_less_than_250k,TotalPct_Unresponsive,TotalPct_Responsive,Sum_Responsive,Pct_less_than_125K,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,LI_greater_than_MC,Shape_Length,Shape_Area,Pct_30K_to_60K,Pct_60K_to_100K,Pct_100K_to_125K,Pct_125K_150K,Pct_150K_to_200K,Pct_200K_to_250K,Pct_250K_or_more,POINT_X,POINT_Y,LI_greater,LI_pct_ind
40,1775,40,Ormsby Place,1.35035847,572377500,322466.1972,WARD 5,107,216,246,117,96,97,41,34,946,0.1121593,0.3385744,0.5964361,0.8197065,0.9213836,0.9643606,0.4978947,0.5021052,954,0.7190776,0.3385744,0.4811321,0.1802935,0,0.064074457,0.000182871,0.2264151,0.2578616,0.1226415,0.1006289,0.1016771,0.0429769,0.0356394,-113.642849,53.49929907,FALSE,1
41,1397,41,Calder,1.348177603,370512000,265219.7566,WARD 2,239,221,190,70,43,19,7,5,955,0.3010076,0.5793451,0.8186398,0.9609572,0.9848866,0.9937028,0.5460263,0.4539737,794,0.906801,0.5793451,0.3816121,0.0390428,1,0.065738031,0.000182955,0.2783375,0.2392947,0.0881612,0.0541562,0.0239295,0.0088161,0.0062972,-113.5291618,53.58843193,TRUE,2
42,1435,42,Parkview,1.546447997,921129500,641902.0906,WARD 1,51,116,149,93,65,94,60,95,577,0.0705394,0.230982,0.4370678,0.6556017,0.7856155,0.8686031,0.4438462,0.5561538,723,0.5656985,0.230982,0.4246196,0.3443983,0,0.082881196,0.000209545,0.1604426,0.2060858,0.1286307,0.0899032,0.1300138,0.0829876,0.131397,-113.567783,53.52394272,FALSE,1
43,1133,43,Beacon Heights,1.150205245,294276500,259732.1271,WARD 7,142,152,190,62,33,24,6,3,591,0.2320261,0.4803922,0.7908497,0.9460784,0.9852941,0.9950981,0.4912718,0.5087282,612,0.8921568,0.4803922,0.4656863,0.0539216,1,0.062073717,0.000156032,0.248366,0.3104575,0.1013072,0.0539216,0.0392157,0.0098039,0.004902,-113.4060949,53.57352504,TRUE,2
44,1626,44,Aldergrove,1.490596723,505432000,310843.7884,WARD 1,119,266,284,135,72,49,22,12,952,0.1240876,0.4014598,0.6976017,0.9134515,0.9645464,0.987487,0.4981685,0.5018315,959,0.8383733,0.4014598,0.5119917,0.0865485,0,0.062051544,0.000201952,0.2773723,0.2961418,0.1407716,0.0750782,0.0510949,0.0229406,0.012513,-113.6411587,53.51679476,FALSE,2
45,1126,45,Eastwood,1.131892245,264156500,234597.2469,WARD 7,341,306,173,42,12,12,4,1,1006,0.3827161,0.7261504,0.9203143,0.9809203,0.9943883,0.9988776,0.530311,0.469689,891,0.9674523,0.7261504,0.2547699,0.0190797,1,0.066027707,0.000153552,0.3434343,0.1941639,0.047138,0.013468,0.013468,0.0044893,0.0011223,-113.4681511,53.57444477,TRUE,3
46,851,46,Lauderdale,1.301509581,241210000,283443.0082,WARD 2,88,137,100,40,21,18,3,4,782,0.2141119,0.5474452,0.7907543,0.9391727,0.9829684,0.9902676,0.6554903,0.3445096,411,0.8880779,0.5474452,0.3917275,0.0608273,1,0.063744262,0.000176622,0.3333333,0.243309,0.0973236,0.0510949,0.0437956,0.0072993,0.0097324,-113.5042607,53.58848165,TRUE,2
47,1052,47,Rosslyn,1.342960407,292826500,278352.1863,WARD 2,251,185,185,99,42,10,6,1,522,0.322208,0.5596919,0.7971759,0.9781771,0.9910141,0.9987163,0.4012298,0.5987702,779,0.9242619,0.5596919,0.4184852,0.0218228,1,0.064070679,0.000182278,0.2374839,0.2374839,0.127086,0.0539153,0.012837,0.0077022,0.0012837,-113.5042653,53.59575935,TRUE,2
48,881,48,Killarney,1.333083361,262008000,297398.4109,WARD 7,179,284,216,64,29,11,4,2,905,0.2268694,0.5868188,0.860583,0.9784538,0.9923955,0.9974651,0.5342385,0.4657615,789,0.9416984,0.5868188,0.391635,0.0215463,1,0.06406678,0.000180906,0.3599493,0.2737643,0.0811153,0.0367554,0.0139417,0.0050697,0.0025349,-113.4795721,53.5884755,TRUE,2
49,719,49,Jasper Park,0.665285409,195373500,271729.4854,WARD 1,104,127,118,27,25,12,6,6,412,0.2447059,0.5435294,0.8211765,0.9435294,0.9717647,0.9858823,0.4922342,0.5077658,425,0.8847059,0.5435294,0.4,0.0564706,1,0.039299412,9.01E-05,0.2988235,0.277647,0.0635294,0.0588235,0.0282353,0.0141176,0.0141176,-113.5841084,53.52306995,TRUE,2
50,713,50,Richfield,0.944326678,220807500,309687.9383,WARD 11,72,82,100,30,24,12,3,1,805,0.2222222,0.4753087,0.7839506,0.9506173,0.9876543,0.9969136,0.7130204,0.2869796,324,0.8765432,0.4753087,0.4753087,0.0493827,0,0.046541191,0.000127793,0.2530864,0.308642,0.0925926,0.0740741,0.037037,0.0092593,0.0030864,-113.459061,53.46928042,FALSE,2
51,1219,51,Capilano,1.306281047,522817000,428890.0738,WARD 8,40,115,126,84,65,65,28,30,527,0.0723327,0.2802893,0.5081374,0.7775769,0.8951175,0.9457505,0.487963,0.512037,553,0.6600361,0.2802893,0.4972875,0.2224232,0,0.070877049,0.000177126,0.2079566,0.2278481,0.1518987,0.1175407,0.1175407,0.0506329,0.0542495,-113.4238106,53.55447667,FALSE,1
52,2341,52,Alberta Avenue,1.680470553,563909500,240884.0239,WARD 7,601,667,364,139,62,61,11,4,1138,0.3148245,0.6642221,0.8548979,0.9601886,0.9921425,0.9979047,0.3734821,0.6265179,1909,0.9277108,0.6642221,0.2959665,0.0398114,1,0.061910689,0.000227941,0.3493976,0.1906758,0.072813,0.0324777,0.0319539,0.0057622,0.0020953,-113.4851866,53.5684948,TRUE,3
53,741,53,Delton,0.679806538,205500000,277327.9352,WARD 7,145,155,149,42,26,23,6,3,298,0.2641166,0.5464481,0.8178506,0.9417122,0.9836066,0.9945355,0.35183,0.64817,549,0.8943534,0.5464481,0.3952641,0.0582878,1,0.048581959,9.22E-05,0.2823315,0.2714025,0.0765027,0.0473588,0.0418944,0.010929,0.0054645,-113.4825443,53.5790053,TRUE,2
54,1023,54,Minchau,0.905519016,315624000,308527.8592,WARD 12,19,59,79,42,27,21,4,3,823,0.0748032,0.3070866,0.6181102,0.8897638,0.972441,0.988189,0.7641597,0.2358403,254,0.7834646,0.3070866,0.5826772,0.1102362,0,0.073363231,0.000122536,0.2322835,0.3110236,0.1653543,0.1062992,0.0826772,0.015748,0.011811,-113.409355,53.46748793,FALSE,1
