idx,name,census_type,census_type_value,pct_category,pct,LI_greater_than_MC,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,POINT_X,POINT_Y,Assessed_Value_Sum,Avg_Assessed_Value
89,Glenwood,c2016_30K_to_60K,435,Pct_30K_to_60K,0.3505238,1,0.6760677,0.296535,0.0273973,-113.6026803,53.5364378,457686000,214876.0563
90,Glenwood,c2016_60K_to_100K,251,Pct_60K_to_100K,0.2022562,1,0.6760677,0.296535,0.0273973,-113.6026803,53.5364378,457686000,214876.0563
91,Glenwood,c2016_100K_to_125K,83,Pct_100K_to_125K,0.0668815,1,0.6760677,0.296535,0.0273973,-113.6026803,53.5364378,457686000,214876.0563
92,Glenwood,c2016_125K_to_150K,34,Pct_125K_150K,0.0273973,1,0.6760677,0.296535,0.0273973,-113.6026803,53.5364378,457686000,214876.0563
93,Glenwood,c2016_150K_to_200K,26,Pct_150K_to_200K,0.0209508,1,0.6760677,0.296535,0.0273973,-113.6026803,53.5364378,457686000,214876.0563
94,Glenwood,c2016_200K_to_250K,6,Pct_200K_to_250K,0.0048348,1,0.6760677,0.296535,0.0273973,-113.6026803,53.5364378,457686000,214876.0563
95,Glenwood,c2016_250K_or_more,2,Pct_250K_or_more,0.0016116,1,0.6760677,0.296535,0.0273973,-113.6026803,53.5364378,457686000,214876.0563
96,Evansdale,c2016_Less_than_30K,298,Pct_less_than_30k,0.2609457,1,0.6637478,0.2994746,0.0367776,-113.4790517,53.61076326,431495500,266026.8187
97,Evansdale,c2016_30K_to_60K,460,Pct_30K_to_60K,0.4028021,1,0.6637478,0.2994746,0.0367776,-113.4790517,53.61076326,431495500,266026.8187
98,Evansdale,c2016_60K_to_100K,223,Pct_60K_to_100K,0.1952714,1,0.6637478,0.2994746,0.0367776,-113.4790517,53.61076326,431495500,266026.8187
99,Evansdale,c2016_100K_to_125K,75,Pct_100K_to_125K,0.0656743,1,0.6637478,0.2994746,0.0367776,-113.4790517,53.61076326,431495500,266026.8187
100,Evansdale,c2016_125K_to_150K,44,Pct_125K_150K,0.0385289,1,0.6637478,0.2994746,0.0367776,-113.4790517,53.61076326,431495500,266026.8187
101,Evansdale,c2016_150K_to_200K,26,Pct_150K_to_200K,0.0227671,1,0.6637478,0.2994746,0.0367776,-113.4790517,53.61076326,431495500,266026.8187
102,Evansdale,c2016_200K_to_250K,11,Pct_200K_to_250K,0.0096322,1,0.6637478,0.2994746,0.0367776,-113.4790517,53.61076326,431495500,266026.8187
103,Evansdale,c2016_250K_or_more,5,Pct_250K_or_more,0.0043783,1,0.6637478,0.2994746,0.0367776,-113.4790517,53.61076326,431495500,266026.8187
104,Northmount,c2016_Less_than_30K,65,Pct_less_than_30k,0.1494253,0,0.4367816,0.4827586,0.0804598,-113.4796586,53.60295449,322729000,291798.3725
105,Northmount,c2016_30K_to_60K,125,Pct_30K_to_60K,0.2873563,0,0.4367816,0.4827586,0.0804598,-113.4796586,53.60295449,322729000,291798.3725
106,Northmount,c2016_60K_to_100K,129,Pct_60K_to_100K,0.2965517,0,0.4367816,0.4827586,0.0804598,-113.4796586,53.60295449,322729000,291798.3725
107,Northmount,c2016_100K_to_125K,57,Pct_100K_to_125K,0.1310345,0,0.4367816,0.4827586,0.0804598,-113.4796586,53.60295449,322729000,291798.3725
108,Northmount,c2016_125K_to_150K,24,Pct_125K_150K,0.0551724,0,0.4367816,0.4827586,0.0804598,-113.4796586,53.60295449,322729000,291798.3725
109,Northmount,c2016_150K_to_200K,25,Pct_150K_to_200K,0.0574713,0,0.4367816,0.4827586,0.0804598,-113.4796586,53.60295449,322729000,291798.3725
110,Northmount,c2016_200K_to_250K,7,Pct_200K_to_250K,0.016092,0,0.4367816,0.4827586,0.0804598,-113.4796586,53.60295449,322729000,291798.3725
111,Northmount,c2016_250K_or_more,3,Pct_250K_or_more,0.0068966,0,0.4367816,0.4827586,0.0804598,-113.4796586,53.60295449,322729000,291798.3725
112,Prince Rupert,c2016_Less_than_30K,31,Pct_less_than_30k,0.2384615,1,0.4461538,0.4384615,0.1153846,-113.5219007,53.5627184,144065000,296430.0412
113,Prince Rupert,c2016_30K_to_60K,27,Pct_30K_to_60K,0.2076923,1,0.4461538,0.4384615,0.1153846,-113.5219007,53.5627184,144065000,296430.0412
114,Prince Rupert,c2016_60K_to_100K,37,Pct_60K_to_100K,0.2846154,1,0.4461538,0.4384615,0.1153846,-113.5219007,53.5627184,144065000,296430.0412
115,Prince Rupert,c2016_100K_to_125K,11,Pct_100K_to_125K,0.0846154,1,0.4461538,0.4384615,0.1153846,-113.5219007,53.5627184,144065000,296430.0412
116,Prince Rupert,c2016_125K_to_150K,9,Pct_125K_150K,0.0692308,1,0.4461538,0.4384615,0.1153846,-113.5219007,53.5627184,144065000,296430.0412
117,Prince Rupert,c2016_150K_to_200K,10,Pct_150K_to_200K,0.0769231,1,0.4461538,0.4384615,0.1153846,-113.5219007,53.5627184,144065000,296430.0412
118,Prince Rupert,c2016_200K_to_250K,2,Pct_200K_to_250K,0.0153846,1,0.4461538,0.4384615,0.1153846,-113.5219007,53.5627184,144065000,296430.0412
119,Prince Rupert,c2016_250K_or_more,3,Pct_250K_or_more,0.0230769,1,0.4461538,0.4384615,0.1153846,-113.5219007,53.5627184,144065000,296430.0412
120,Spruce Avenue,c2016_Less_than_30K,92,Pct_less_than_30k,0.2987013,1,0.6168831,0.3149351,0.0681818,-113.4993249,53.56414287,166350500,279580.6723
121,Spruce Avenue,c2016_30K_to_60K,98,Pct_30K_to_60K,0.3181818,1,0.6168831,0.3149351,0.0681818,-113.4993249,53.56414287,166350500,279580.6723
122,Spruce Avenue,c2016_60K_to_100K,62,Pct_60K_to_100K,0.2012987,1,0.6168831,0.3149351,0.0681818,-113.4993249,53.56414287,166350500,279580.6723
123,Spruce Avenue,c2016_100K_to_125K,21,Pct_100K_to_125K,0.0681818,1,0.6168831,0.3149351,0.0681818,-113.4993249,53.56414287,166350500,279580.6723
124,Spruce Avenue,c2016_125K_to_150K,14,Pct_125K_150K,0.0454545,1,0.6168831,0.3149351,0.0681818,-113.4993249,53.56414287,166350500,279580.6723
125,Spruce Avenue,c2016_150K_to_200K,14,Pct_150K_to_200K,0.0454545,1,0.6168831,0.3149351,0.0681818,-113.4993249,53.56414287,166350500,279580.6723
126,Spruce Avenue,c2016_200K_to_250K,5,Pct_200K_to_250K,0.0162338,1,0.6168831,0.3149351,0.0681818,-113.4993249,53.56414287,166350500,279580.6723
127,Spruce Avenue,c2016_250K_or_more,2,Pct_250K_or_more,0.0064935,1,0.6168831,0.3149351,0.0681818,-113.4993249,53.56414287,166350500,279580.6723
128,Westwood,c2016_Less_than_30K,381,Pct_less_than_30k,0.4219269,1,0.7774087,0.2015504,0.021041,-113.4982738,53.57612192,195052500,254305.7366
129,Westwood,c2016_30K_to_60K,321,Pct_30K_to_60K,0.3554817,1,0.7774087,0.2015504,0.021041,-113.4982738,53.57612192,195052500,254305.7366
130,Westwood,c2016_60K_to_100K,124,Pct_60K_to_100K,0.13732,1,0.7774087,0.2015504,0.021041,-113.4982738,53.57612192,195052500,254305.7366
131,Westwood,c2016_100K_to_125K,36,Pct_100K_to_125K,0.0398671,1,0.7774087,0.2015504,0.021041,-113.4982738,53.57612192,195052500,254305.7366
132,Westwood,c2016_125K_to_150K,22,Pct_125K_150K,0.0243632,1,0.7774087,0.2015504,0.021041,-113.4982738,53.57612192,195052500,254305.7366
133,Westwood,c2016_150K_to_200K,14,Pct_150K_to_200K,0.0155039,1,0.7774087,0.2015504,0.021041,-113.4982738,53.57612192,195052500,254305.7366
134,Westwood,c2016_200K_to_250K,2,Pct_200K_to_250K,0.0022148,1,0.7774087,0.2015504,0.021041,-113.4982738,53.57612192,195052500,254305.7366
135,Westwood,c2016_250K_or_more,3,Pct_250K_or_more,0.0033223,1,0.7774087,0.2015504,0.021041,-113.4982738,53.57612192,195052500,254305.7366
136,High Park,c2016_Less_than_30K,42,Pct_less_than_30k,0.1971831,1,0.4835681,0.4553991,0.0610329,-113.5841964,53.55497783,200146000,323337.6414
